Domain,MBFC factual,MBFC,PF,BF,FC,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,,iffy,ID,✓
100percentfedup.com,low,QS,,,,,101963,,100 Percent Fed Up,https://mediabiasfactcheck.com/100-percent-fed-up/,,200,https://100percentfedup.com/,44.5,1,1,↗
10news.one,low,QS,,,,,2688331,,10News.one,https://mediabiasfactcheck.com/10news-one/,,200,https://www.10news.one/,,1,1582,↗
12minutos.com,low,QS,,1,,,330294,,12minutos.com,https://mediabiasfactcheck.com/12minutos-com/,,200,http://www.12minutos.com/,,1,1303,↗
21stcenturywire.com,mixed,CP,,,,,131699,,21st Century Wire,https://mediabiasfactcheck.com/21st-century-wire/,,200,https://21stcenturywire.com/,10,,3,↗
24aktuelles.com,,,,1,,,1138388,2014,Erfinde deine eigenen Witz,,,200,http://www.24aktuelles.com/,,0,1305,↗
369news.net,mixed,CP,,,,,1810968,2015,369 News,https://mediabiasfactcheck.com/369news/,,200,https://369news.net/,,,1408,↗
911truth.org,low,CP,,,,,900437,2003,911Truth.org,https://mediabiasfactcheck.com/911truth-org/,,200,https://911truth.org/,,1,2295,↗
a-news24.com,,,fake-news,,,,7351803,2015,A news24,,,200,https://a-news24.com/,,0,14,↗
aapsonline.org,low,QS,,,,,266505,1998,Association of American Physicians and Surgeons,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,https://en.wikipedia.org/wiki/Association_of_American_Physicians_and_Surgeons,200,https://aapsonline.org/,,1,2724,↗
abcbusinessnews.com,mixed,QS,,,,,20000000,,Experience Awareness (AbcBusinessNews.com),https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,,200,http://www.abcbusinessnews.com/,,,4902,↗
abovetopsecret.com,low,CP,,,,,25965,1997,Above Top Secret,https://mediabiasfactcheck.com/above-top-secret/,,200,http://www.abovetopsecret.com/,,1,20,↗
acpeds.org,mixed,QS,,,,,397145,2002,American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,https://en.wikipedia.org/wiki/American_College_of_Pediatricians,200,https://acpeds.org/,,,1590,↗
actionnews3.com,very-low,QS,,,,,1639157,2015,Action News 3,https://mediabiasfactcheck.com/action-news-3/,,200,https://actionnews3.com/,20,1,25,↗
